Grapheme	Class	Left	Right	HTML	UNICODE
%4L	SUP			&#x03BB;	\u03BB
R	BASE			&#x03C1;	\u03C1
%6R	SUB			&#x03C1;	\u03C1
%7R	SUB			&#x03C1;	\u03C1
%8R	SUB			&#x03C1;	\u03C1
%1R	SUP			&#x03C1;	\u03C1
%2R	SUP			&#x03C1;	\u03C1
%3R	SUP			&#x03C1;	\u03C1
%4R	SUP			&#x03C1;	\u03C1
S	BASE			&#x03C3;	\u03C3
%6S	SUB			&#x03C3;	\u03C3
%7S	SUB			&#x03C3;	\u03C3
%8S	SUB			&#x03C3;	\u03C3
%1S	SUP			&#x03C3;	\u03C3
%2S	SUP			&#x03C3;	\u03C3
%3S	SUP			&#x03C3;	\u03C3
%4S	SUP			&#x03C3;	\u03C3
F	BASE			&#x03C6;	\u03C6
%6F	SUB			&#x03C6;	\u03C6
%7F	SUB			&#x03C6;	\u03C6
%8F	SUB			&#x03C6;	\u03C6
%1F	SUP			&#x03C6;	\u03C6
%2F	SUP			&#x03C6;	\u03C6
%3F	SUP			&#x03C6;	\u03C6
%4F	SUP			&#x03C6;	\u03C6
X	BASE			&#x03C7;	\u03C7
%6X	SUB			&#x03C7;	\u03C7
%7X	SUB			&#x03C7;	\u03C7
%8X	SUB			&#x03C7;	\u03C7
%1X	SUP			&#x03C7;	\u03C7
%2X	SUP			&#x03C7;	\u03C7
%3X	SUP			&#x03C7;	\u03C7
%4X	SUP			&#x03C7;	\u03C7
O	BASE			&#x03C9;	\u03C9
%6O	SUB			&#x03C9;	\u03C9
%7O	SUB			&#x03C9;	\u03C9
%8O	SUB			&#x03C9;	\u03C9
%1O	SUP			&#x03C9;	\u03C9
%2O	SUP			&#x03C9;	\u03C9
%3O	SUP			&#x03C9;	\u03C9
%4O	SUP			&#x03C9;	\u03C9
%1P	BASE			&#x22c5;	\u22C5
%2P	BASE			&#x22c5;	\u22C5
%3P	BASE			&#x22c5;	\u22C5
%4P	BASE			&#x22c5;	\u22C5
%6@	DIA			&#x326;	\u0326
%7@	DIA			&#x326;	\u0326
%8@	DIA			&#x326;	\u0326
%9@	DIA			&#x313;	\u0313
%1@	DIA			&#x313;	\u0313
%2@	DIA			&#x313;	\u0313
%3@	DIA			&#x313;	\u0313
%4@	DIA			&#x313;	\u0313
%0@	DIA			&#x326;	\u0326
%6$@	DIA			&#x314;	\u0314
%7$@	DIA			&#x314;	\u0314
%8$@	DIA			&#x314;	\u0314
%1$@	DIA			&#x314;	\u0314
%2$@	DIA			&#x314;	\u0314
%3$@	DIA			&#x314;	\u0314
%4$@	DIA			&#x314;	\u0314
%6Q	DIA			&#x325;	\u0325
%7Q	DIA			&#x325;	\u0325
%8Q	DIA			&#x325;	\u0325
%9Q	DIA			&#x30a;	\u030A
%1Q	DIA			&#x30a;	\u030A
%2Q	DIA			&#x30a;	\u030A
%3Q	DIA			&#x30a;	\u030A
%4Q	DIA			&#x30a;	\u030A
%0Q	DIA			&#x325;	\u0325
%6\	DIA			&#x0300;	\u0300
%7\	DIA			&#x0300;	\u0300
%8\	DIA			&#x0300;	\u0300
%1\	DIA			&#x0300;	\u0300
%2\	DIA			&#x0300;	\u0300
%3\	DIA			&#x0300;	\u0300
%4\	DIA			&#x0300;	\u0300
%6/	DIA			&#x0301;	\u0301
%7/	DIA			&#x0301;	\u0301
%8/	DIA			&#x0301;	\u0301
%1/	DIA			&#x0301;	\u0301
%2/	DIA			&#x0301;	\u0301
%3/	DIA			&#x0301;	\u0301
%4/	DIA			&#x0301;	\u0301
%6^	DIA			&#x0302;	\u0302
%7^	DIA			&#x0302;	\u0302
%8^	DIA			&#x0302;	\u0302
%1^	DIA			&#x302;	\u0302
%2^	DIA			&#x302;	\u0302
%3^	DIA			&#x302;	\u0302
%4^	DIA			&#x302;	\u0302
%6{	DIA			&#x0306;	\u0306
%7{	DIA			&#x0306;	\u0306
%8{	DIA			&#x0306;	\u0306
%1{	DIA			&#x0306;	\u0306
%2{	DIA			&#x0306;	\u0306
%3{	DIA			&#x0306;	\u0306
%4{	DIA			&#x0306;	\u0306
%6"	DIA			&#x324;	\u0324
%7"	DIA			&#x324;	\u0324
%8"	DIA			&#x324;	\u0324
%9"	DIA			&#x0308;	\u0308
%1"	DIA			&#x0308;	\u0308
%2"	DIA			&#x0308;	\u0308
%3"	DIA			&#x0308;	\u0308
%4"	DIA			&#x0308;	\u0308
%0"	DIA			&#x324;	\u0324
%6|	DIA			&#x30d;	\u030D
%7|	DIA			&#x30d;	\u030D
%8|	DIA			&#x30d;	\u030D
%1|	DIA			&#x30d;	\u030D
%2|	DIA			&#x30d;	\u030D
%3|	DIA			&#x30d;	\u030D
%4|	DIA			&#x30d;	\u030D
%6.	DIA			&#x0323;	\u0323
%7.	DIA			&#x0323;	\u0323
%8.	DIA			&#x0323;	\u0323
%9.	DIA			&#x307;	\u0307
%1.	DIA			&#x307;	\u0307
%2.	DIA			&#x307;	\u0307
%3.	DIA			&#x307;	\u0307
%4.	DIA			&#x307;	\u0307
%0.	DIA			&#x0323;	\u0323
%6C	DIA			&#x0327;	\u0327
%7C	DIA			&#x0327;	\u0327
%8C	DIA			&#x0327;	\u0327
%1C	DIA			&#x0327;	\u0327
%2C	DIA			&#x0327;	\u0327
%3C	DIA			&#x0327;	\u0327
%4C	DIA			&#x0327;	\u0327
%6:	DIA			&#x0329;	\u0329
%7:	DIA			&#x0329;	\u0329
%8:	DIA			&#x0329;	\u0329
%9:	DIA			&#x315;	\u0315
%1:	DIA			&#x315;	\u0315
%2:	DIA			&#x315;	\u0315
%3:	DIA			&#x315;	\u0315
%4:	DIA			&#x315;	\u0315
%0:	DIA			&#x0329;	\u0329
%6&	DIA			&#x032C;	\u032C
%7&	DIA			&#x032C;	\u032C
%8&	DIA			&#x032C;	\u032C
%9&	DIA			&#x030C;	\u030C
%1&	DIA			&#x030C;	\u030C
%2&	DIA			&#x030C;	\u030C
%3&	DIA			&#x030C;	\u030C
%4&	DIA			&#x030C;	\u030C
%0&	DIA			&#x032C;	\u032C
%6~	DIA			&#x0330;	\u0330
%7~	DIA			&#x0330;	\u0330
%8~	DIA			&#x0330;	\u0330
%9~	DIA			&#x303;	\u0303
%1~	DIA			&#x303;	\u0303
%2~	DIA			&#x303;	\u0303
%3~	DIA			&#x303;	\u0303
%4~	DIA			&#x303;	\u0303
%0~	DIA			&#x0330;	\u0330
%6_	DIA			&#x0331;	\u0331
%7_	DIA			&#x0331;	\u0331
%8_	DIA			&#x0331;	\u0331
%1_	DIA			&#x0331;	\u0331
%2_	DIA			&#x0331;	\u0331
%3_	DIA			&#x0331;	\u0331
%4_	DIA			&#x0331;	\u0331
%6-	DIA			&#x0331;	\u0331
%7-	DIA			&#x0331;	\u0331
%8-	DIA			&#x0331;	\u0331
%1-	DIA			&#x0331;	\u0331
%2-	DIA			&#x0331;	\u0331
%3-	DIA			&#x0331;	\u0331
%4-	DIA			&#x0331;	\u0331
%6=	DIA			&#x333;	\u0333
%7=	DIA			&#x333;	\u0333
%8=	DIA			&#x333;	\u0333
%1=	DIA			&#x333;	\u0333
%2=	DIA			&#x333;	\u0333
